100,2,0.00000,0.00000
100,3,0.00000,0.00000
100,4,0.00000,0.00000
100,5,0.00000,0.00000
100,6,0.00000,0.00000
100,7,0.00000,0.00000
100,8,0.00000,0.00000
100,9,0.00000,0.00000
100,10,0.00000,0.00000
10000,2,3.00000,0.00300
10000,3,2.00000,0.00200
10000,4,2.00000,0.00200
10000,5,2.00000,0.00200
10000,6,2.00000,0.00200
10000,7,2.00000,0.00200
10000,8,2.00000,0.00200
10000,9,4.00000,0.00400
10000,10,2.00000,0.00200
100000,2,53.00000,0.05300
100000,3,45.00000,0.04500
100000,4,34.00000,0.03400
100000,5,36.00000,0.03600
100000,6,27.00000,0.02700
100000,7,21.00000,0.02100
100000,8,24.00000,0.02400
100000,9,27.00000,0.02700
100000,10,23.00000,0.02300
1000000,2,423.00000,0.42300
1000000,3,348.00000,0.34800
1000000,4,234.00000,0.23400
1000000,5,265.00000,0.26500
1000000,6,238.00000,0.23800
1000000,7,282.00000,0.28200
1000000,8,260.00000,0.26000
1000000,9,308.00000,0.30800
1000000,10,251.00000,0.25100
10000000,2,4867.00000,4.86700
10000000,3,3307.00000,3.30700
10000000,4,2889.00000,2.88900
10000000,5,2949.00000,2.94900
10000000,6,2558.00000,2.55800
10000000,7,3013.00000,3.01300
10000000,8,2826.00000,2.82600
10000000,9,3296.00000,3.29600
10000000,10,2818.00000,2.81800
100,2,0.00000,0.00000
100,3,0.00000,0.00000
100,4,0.00000,0.00000
100,5,0.00000,0.00000
100,6,0.00000,0.00000
100,7,0.00000,0.00000
100,8,0.00000,0.00000
100,9,0.00000,0.00000
100,10,0.00000,0.00000
10000,2,4.00000,0.00400
10000,3,3.00000,0.00300
10000,4,3.00000,0.00300
10000,5,2.00000,0.00200
10000,6,3.00000,0.00300
10000,7,3.00000,0.00300
10000,8,4.00000,0.00400
10000,9,4.00000,0.00400
10000,10,3.00000,0.00300
100000,2,41.00000,0.04100
100000,3,32.00000,0.03200
100000,4,34.00000,0.03400
100000,5,29.00000,0.02900
100000,6,28.00000,0.02800
100000,7,26.00000,0.02600
100000,8,29.00000,0.02900
100000,9,28.00000,0.02800
100000,10,24.00000,0.02400
1000000,2,431.00000,0.43100
1000000,3,405.00000,0.40500
1000000,4,285.00000,0.28500
1000000,5,307.00000,0.30700
1000000,6,260.00000,0.26000
1000000,7,348.00000,0.34800
1000000,8,301.00000,0.30100
1000000,9,343.00000,0.34300
1000000,10,343.00000,0.34300
10000000,2,5443.00000,5.44300
10000000,3,4112.00000,4.11200
10000000,4,3218.00000,3.21800
10000000,5,3093.00000,3.09300
10000000,6,2712.00000,2.71200
10000000,7,3657.00000,3.65700
10000000,8,2951.00000,2.95100
10000000,9,3187.00000,3.18700
10000000,10,2790.00000,2.79000
